"query_id","subject_id","percent_identity","alignment_length","mismatches","gap_opens","q_start","q_end","s_start","s_end","evalue","bit_score","file"
"F13G_F10_070","AM396448.1",91.667,96,8,0,97,192,83,178,2.63e-35,134,"F13G_F10_070_blast.txt"
"F13G_F10_070","AM396448.1",93.023,43,3,0,291,333,132,174,3.5e-14,63.9,"F13G_F10_070_blast.txt"
"F13G_F10_070","AM396447.1",91.667,96,8,0,97,192,83,178,2.63e-35,134,"F13G_F10_070_blast.txt"
"F13G_F10_070","AM396447.1",93.023,43,3,0,291,333,132,174,3.5e-14,63.9,"F13G_F10_070_blast.txt"
"F13G_F10_070","AM902935.1",88.889,45,2,3,293,337,200,241,7.58e-11,52.8,"F13G_F10_070_blast.txt"
"F13G_F10_070","AM902929.1",88.889,45,2,3,293,337,173,214,7.58e-11,52.8,"F13G_F10_070_blast.txt"
"F13G_F10_070","AM902926.1",88.889,45,2,3,293,337,173,214,7.58e-11,52.8,"F13G_F10_070_blast.txt"
"F14GI_G01_003","AM396449.1",93.023,43,3,0,277,319,132,174,3.36e-14,63.9,"F14GI_G01_003_blast.txt"
"F14GI_G01_003","AM396448.1",93.023,43,3,0,277,319,132,174,3.36e-14,63.9,"F14GI_G01_003_blast.txt"
"F14GI_G01_003","AM396447.1",93.023,43,3,0,277,319,132,174,3.36e-14,63.9,"F14GI_G01_003_blast.txt"
"F14GI_G01_003","AM902935.1",88.889,45,2,3,279,323,200,241,7.28e-11,52.8,"F14GI_G01_003_blast.txt"
"F14GI_G01_003","AM902929.1",88.889,45,2,3,279,323,173,214,7.28e-11,52.8,"F14GI_G01_003_blast.txt"
"F14GI_G01_003","AM902926.1",88.889,45,2,3,279,323,173,214,7.28e-11,52.8,"F14GI_G01_003_blast.txt"
"F14L_E01_007","AM396449.1",93.023,43,3,0,302,344,132,174,3.6e-14,63.9,"F14L_E01_007_blast.txt"
"F14L_E01_007","AM396448.1",93.023,43,3,0,302,344,132,174,3.6e-14,63.9,"F14L_E01_007_blast.txt"
"F14L_E01_007","AM396447.1",93.023,43,3,0,302,344,132,174,3.6e-14,63.9,"F14L_E01_007_blast.txt"
"F14L_E01_007","AM902935.1",88.889,45,2,3,304,348,200,241,7.8e-11,52.8,"F14L_E01_007_blast.txt"
"F14L_E01_007","AM902929.1",88.889,45,2,3,304,348,173,214,7.8e-11,52.8,"F14L_E01_007_blast.txt"
"F14L_E01_007","AM902926.1",88.889,45,2,3,304,348,173,214,7.8e-11,52.8,"F14L_E01_007_blast.txt"
"F15G_B02_014","AM396449.1",93.023,43,3,0,270,312,132,174,3.29e-14,63.9,"F15G_B02_014_blast.txt"
"F15G_B02_014","AM396448.1",93.023,43,3,0,270,312,132,174,3.29e-14,63.9,"F15G_B02_014_blast.txt"
"F15G_B02_014","AM396447.1",93.023,43,3,0,270,312,132,174,3.29e-14,63.9,"F15G_B02_014_blast.txt"
"F15G_B02_014","AM902935.1",88.889,45,2,3,272,316,200,241,7.12e-11,52.8,"F15G_B02_014_blast.txt"
"F15G_B02_014","AM902929.1",88.889,45,2,3,272,316,173,214,7.12e-11,52.8,"F15G_B02_014_blast.txt"
"F15G_B02_014","AM902926.1",88.889,45,2,3,272,316,173,214,7.12e-11,52.8,"F15G_B02_014_blast.txt"
"F15GI_C02_012","AM396449.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F15GI_C02_012_blast.txt"
"F15GI_C02_012","AM396448.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F15GI_C02_012_blast.txt"
"F15GI_C02_012","AM396447.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F15GI_C02_012_blast.txt"
"F15GI_C02_012","AM902935.1",88.889,45,2,3,275,319,200,241,7.19e-11,52.8,"F15GI_C02_012_blast.txt"
"F15GI_C02_012","AM902929.1",88.889,45,2,3,275,319,173,214,7.19e-11,52.8,"F15GI_C02_012_blast.txt"
"F15GI_C02_012","AM902926.1",88.889,45,2,3,275,319,173,214,7.19e-11,52.8,"F15GI_C02_012_blast.txt"
"F15L_A02_016","AM396449.1",93.023,43,3,0,272,314,132,174,3.29e-14,63.9,"F15L_A02_016_blast.txt"
"F15L_A02_016","AM396448.1",93.023,43,3,0,272,314,132,174,3.29e-14,63.9,"F15L_A02_016_blast.txt"
"F15L_A02_016","AM396447.1",93.023,43,3,0,272,314,132,174,3.29e-14,63.9,"F15L_A02_016_blast.txt"
"F15L_A02_016","AM902935.1",88.889,45,2,3,274,318,200,241,7.12e-11,52.8,"F15L_A02_016_blast.txt"
"F15L_A02_016","AM902929.1",88.889,45,2,3,274,318,173,214,7.12e-11,52.8,"F15L_A02_016_blast.txt"
"F15L_A02_016","AM902926.1",88.889,45,2,3,274,318,173,214,7.12e-11,52.8,"F15L_A02_016_blast.txt"
"F15O_D02_010","AM396449.1",93.023,43,3,0,274,316,132,174,3.32e-14,63.9,"F15O_D02_010_blast.txt"
"F15O_D02_010","AM396448.1",93.023,43,3,0,274,316,132,174,3.32e-14,63.9,"F15O_D02_010_blast.txt"
"F15O_D02_010","AM396447.1",93.023,43,3,0,274,316,132,174,3.32e-14,63.9,"F15O_D02_010_blast.txt"
"F15O_D02_010","AM902935.1",88.889,45,2,3,276,320,200,241,7.19e-11,52.8,"F15O_D02_010_blast.txt"
"F15O_D02_010","AM902929.1",88.889,45,2,3,276,320,173,214,7.19e-11,52.8,"F15O_D02_010_blast.txt"
"F15O_D02_010","AM902926.1",88.889,45,2,3,276,320,173,214,7.19e-11,52.8,"F15O_D02_010_blast.txt"
"F16GI_G02_004","AM396449.1",93.023,43,3,0,276,318,132,174,3.36e-14,63.9,"F16GI_G02_004_blast.txt"
"F16GI_G02_004","AM396448.1",93.023,43,3,0,276,318,132,174,3.36e-14,63.9,"F16GI_G02_004_blast.txt"
"F16GI_G02_004","AM396447.1",93.023,43,3,0,276,318,132,174,3.36e-14,63.9,"F16GI_G02_004_blast.txt"
"F16GI_G02_004","AM902935.1",88.889,45,2,3,278,322,200,241,7.28e-11,52.8,"F16GI_G02_004_blast.txt"
"F16GI_G02_004","AM902929.1",88.889,45,2,3,278,322,173,214,7.28e-11,52.8,"F16GI_G02_004_blast.txt"
"F16GI_G02_004","AM902926.1",88.889,45,2,3,278,322,173,214,7.28e-11,52.8,"F16GI_G02_004_blast.txt"
"F16L_E02_008","AM396449.1",98.077,156,0,2,23,178,26,178,6.66e-76,268,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM396449.1",93.023,43,3,0,278,320,132,174,3.37e-14,63.9,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM396448.1",98.077,156,0,2,23,178,26,178,6.66e-76,268,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM396448.1",93.023,43,3,0,278,320,132,174,3.37e-14,63.9,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM396447.1",98.077,156,0,2,23,178,26,178,6.66e-76,268,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM396447.1",93.023,43,3,0,278,320,132,174,3.37e-14,63.9,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM902935.1",88.889,45,2,3,280,324,200,241,7.3e-11,52.8,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM902929.1",88.889,45,2,3,280,324,173,214,7.3e-11,52.8,"F16L_E02_008_blast.txt"
"F16L_E02_008","AM902926.1",88.889,45,2,3,280,324,173,214,7.3e-11,52.8,"F16L_E02_008_blast.txt"
"F16O_H02_002","AM396449.1",93.023,43,3,0,293,335,132,174,3.52e-14,63.9,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM396448.1",93.023,43,3,0,293,335,132,174,3.52e-14,63.9,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM396447.1",93.023,43,3,0,293,335,132,174,3.52e-14,63.9,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM902935.1",90.909,44,3,1,220,263,199,241,1.64e-12,58.4,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM902935.1",88.889,45,2,3,295,339,200,241,7.63e-11,52.8,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM902929.1",90.909,44,3,1,220,263,172,214,1.64e-12,58.4,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM902929.1",88.889,45,2,3,295,339,173,214,7.63e-11,52.8,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM902926.1",90.909,44,3,1,220,263,172,214,1.64e-12,58.4,"F16O_H02_002_blast.txt"
"F16O_H02_002","AM902926.1",88.889,45,2,3,295,339,173,214,7.63e-11,52.8,"F16O_H02_002_blast.txt"
"F18G_B03_029","AM396449.1",93.023,43,3,0,275,317,132,174,3.35e-14,63.9,"F18G_B03_029_blast.txt"
"F18G_B03_029","AM396448.1",93.023,43,3,0,275,317,132,174,3.35e-14,63.9,"F18G_B03_029_blast.txt"
"F18G_B03_029","AM396447.1",93.023,43,3,0,275,317,132,174,3.35e-14,63.9,"F18G_B03_029_blast.txt"
"F18G_B03_029","AM902935.1",88.889,45,2,3,277,321,200,241,7.25e-11,52.8,"F18G_B03_029_blast.txt"
"F18G_B03_029","AM902929.1",88.889,45,2,3,277,321,173,214,7.25e-11,52.8,"F18G_B03_029_blast.txt"
"F18G_B03_029","AM902926.1",88.889,45,2,3,277,321,173,214,7.25e-11,52.8,"F18G_B03_029_blast.txt"
"F18GI_C03_027","AM396449.1",93.023,43,3,0,272,314,132,174,3.3e-14,63.9,"F18GI_C03_027_blast.txt"
"F18GI_C03_027","AM396448.1",93.023,43,3,0,272,314,132,174,3.3e-14,63.9,"F18GI_C03_027_blast.txt"
"F18GI_C03_027","AM396447.1",93.023,43,3,0,272,314,132,174,3.3e-14,63.9,"F18GI_C03_027_blast.txt"
"F18GI_C03_027","AM902935.1",88.889,45,2,3,274,318,200,241,7.15e-11,52.8,"F18GI_C03_027_blast.txt"
"F18GI_C03_027","AM902929.1",88.889,45,2,3,274,318,173,214,7.15e-11,52.8,"F18GI_C03_027_blast.txt"
"F18GI_C03_027","AM902926.1",88.889,45,2,3,274,318,173,214,7.15e-11,52.8,"F18GI_C03_027_blast.txt"
"F18O_D03_025","AM396449.1",93.023,43,3,0,272,314,132,174,3.3e-14,63.9,"F18O_D03_025_blast.txt"
"F18O_D03_025","AM396448.1",93.023,43,3,0,272,314,132,174,3.3e-14,63.9,"F18O_D03_025_blast.txt"
"F18O_D03_025","AM396447.1",93.023,43,3,0,272,314,132,174,3.3e-14,63.9,"F18O_D03_025_blast.txt"
"F18O_D03_025","AM902935.1",88.889,45,2,3,274,318,200,241,7.15e-11,52.8,"F18O_D03_025_blast.txt"
"F18O_D03_025","AM902929.1",88.889,45,2,3,274,318,173,214,7.15e-11,52.8,"F18O_D03_025_blast.txt"
"F18O_D03_025","AM902926.1",88.889,45,2,3,274,318,173,214,7.15e-11,52.8,"F18O_D03_025_blast.txt"
"F19G_B11_093","AM396449.1",93.023,43,3,0,282,324,132,174,3.42e-14,63.9,"F19G_B11_093_blast.txt"
"F19G_B11_093","AM396448.1",93.023,43,3,0,282,324,132,174,3.42e-14,63.9,"F19G_B11_093_blast.txt"
"F19G_B11_093","AM396447.1",93.023,43,3,0,282,324,132,174,3.42e-14,63.9,"F19G_B11_093_blast.txt"
"F19G_B11_093","AM902935.1",88.889,45,2,3,284,328,200,241,7.41e-11,52.8,"F19G_B11_093_blast.txt"
"F19G_B11_093","AM902929.1",88.889,45,2,3,284,328,173,214,7.41e-11,52.8,"F19G_B11_093_blast.txt"
"F19G_B11_093","AM902926.1",88.889,45,2,3,284,328,173,214,7.41e-11,52.8,"F19G_B11_093_blast.txt"
"F19GI_C11_091","AM396449.1",93.023,43,3,0,294,336,132,174,3.52e-14,63.9,"F19GI_C11_091_blast.txt"
"F19GI_C11_091","AM396448.1",93.023,43,3,0,294,336,132,174,3.52e-14,63.9,"F19GI_C11_091_blast.txt"
"F19GI_C11_091","AM396447.1",93.023,43,3,0,294,336,132,174,3.52e-14,63.9,"F19GI_C11_091_blast.txt"
"F19GI_C11_091","AM902935.1",88.889,45,2,3,296,340,200,241,7.63e-11,52.8,"F19GI_C11_091_blast.txt"
"F19GI_C11_091","AM902929.1",88.889,45,2,3,296,340,173,214,7.63e-11,52.8,"F19GI_C11_091_blast.txt"
"F19GI_C11_091","AM902926.1",88.889,45,2,3,296,340,173,214,7.63e-11,52.8,"F19GI_C11_091_blast.txt"
"F19L_A11_095","AM396449.1",97.452,157,2,2,22,178,24,178,1.39e-75,267,"F19L_A11_095_blast.txt"
"F19L_A11_095","AM396448.1",97.452,157,2,2,22,178,24,178,1.39e-75,267,"F19L_A11_095_blast.txt"
"F19L_A11_095","AM396447.1",97.452,157,2,2,22,178,24,178,1.39e-75,267,"F19L_A11_095_blast.txt"
"F19O_D11_089","AM396449.1",93.023,43,3,0,274,316,132,174,3.33e-14,63.9,"F19O_D11_089_blast.txt"
"F19O_D11_089","AM396448.1",93.023,43,3,0,274,316,132,174,3.33e-14,63.9,"F19O_D11_089_blast.txt"
"F19O_D11_089","AM396447.1",93.023,43,3,0,274,316,132,174,3.33e-14,63.9,"F19O_D11_089_blast.txt"
"F19O_D11_089","AM902935.1",88.889,45,2,3,276,320,200,241,7.21e-11,52.8,"F19O_D11_089_blast.txt"
"F19O_D11_089","AM902929.1",88.889,45,2,3,276,320,173,214,7.21e-11,52.8,"F19O_D11_089_blast.txt"
"F19O_D11_089","AM902926.1",88.889,45,2,3,276,320,173,214,7.21e-11,52.8,"F19O_D11_089_blast.txt"
"F1G_B08_062","AM396449.1",97.333,150,1,3,32,181,32,178,6.72e-71,252,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM396449.1",93.023,43,3,0,280,322,132,174,3.38e-14,63.9,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM396448.1",97.333,150,1,3,32,181,32,178,6.72e-71,252,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM396448.1",93.023,43,3,0,280,322,132,174,3.38e-14,63.9,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM396447.1",97.333,150,1,3,32,181,32,178,6.72e-71,252,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM396447.1",93.023,43,3,0,280,322,132,174,3.38e-14,63.9,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM902935.1",88.889,45,2,3,282,326,200,241,7.32e-11,52.8,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM902929.1",88.889,45,2,3,282,326,173,214,7.32e-11,52.8,"F1G_B08_062_blast.txt"
"F1G_B08_062","AM902926.1",88.889,45,2,3,282,326,173,214,7.32e-11,52.8,"F1G_B08_062_blast.txt"
"F1GI_C08_060","AM396449.1",93.548,93,6,0,74,166,81,173,5.35e-37,139,"F1GI_C08_060_blast.txt"
"F1GI_C08_060","AM396448.1",93.548,93,6,0,74,166,81,173,5.35e-37,139,"F1GI_C08_060_blast.txt"
"F1GI_C08_060","AM396447.1",93.548,93,6,0,74,166,81,173,5.35e-37,139,"F1GI_C08_060_blast.txt"
"F1O_D08_058","AM396449.1",93.023,43,3,0,290,332,132,174,3.49e-14,63.9,"F1O_D08_058_blast.txt"
"F1O_D08_058","AM396448.1",93.023,43,3,0,290,332,132,174,3.49e-14,63.9,"F1O_D08_058_blast.txt"
"F1O_D08_058","AM396447.1",93.023,43,3,0,290,332,132,174,3.49e-14,63.9,"F1O_D08_058_blast.txt"
"F1O_D08_058","AM902935.1",88.889,45,2,3,292,336,200,241,7.56e-11,52.8,"F1O_D08_058_blast.txt"
"F1O_D08_058","AM902929.1",88.889,45,2,3,292,336,173,214,7.56e-11,52.8,"F1O_D08_058_blast.txt"
"F1O_D08_058","AM902926.1",88.889,45,2,3,292,336,173,214,7.56e-11,52.8,"F1O_D08_058_blast.txt"
"F20G_F11_085","AM396449.1",93.023,43,3,0,273,315,132,174,3.31e-14,63.9,"F20G_F11_085_blast.txt"
"F20G_F11_085","AM396448.1",93.023,43,3,0,273,315,132,174,3.31e-14,63.9,"F20G_F11_085_blast.txt"
"F20G_F11_085","AM396447.1",93.023,43,3,0,273,315,132,174,3.31e-14,63.9,"F20G_F11_085_blast.txt"
"F20G_F11_085","AM902935.1",88.889,45,2,3,275,319,200,241,7.17e-11,52.8,"F20G_F11_085_blast.txt"
"F20G_F11_085","AM902929.1",88.889,45,2,3,275,319,173,214,7.17e-11,52.8,"F20G_F11_085_blast.txt"
"F20G_F11_085","AM902926.1",88.889,45,2,3,275,319,173,214,7.17e-11,52.8,"F20G_F11_085_blast.txt"
"F20L_E11_087","AM396449.1",80.282,142,20,7,45,184,43,178,2.62e-25,100,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM396449.1",93.023,43,3,0,284,326,132,174,3.43e-14,63.9,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM396448.1",80.282,142,20,7,45,184,43,178,2.62e-25,100,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM396448.1",93.023,43,3,0,284,326,132,174,3.43e-14,63.9,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM396447.1",80.282,142,20,7,45,184,43,178,2.62e-25,100,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM396447.1",93.023,43,3,0,284,326,132,174,3.43e-14,63.9,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM902935.1",88.889,45,2,3,286,330,200,241,7.43e-11,52.8,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM902929.1",88.889,45,2,3,286,330,173,214,7.43e-11,52.8,"F20L_E11_087_blast.txt"
"F20L_E11_087","AM902926.1",88.889,45,2,3,286,330,173,214,7.43e-11,52.8,"F20L_E11_087_blast.txt"
"F20O_H11_081","AM396449.1",93.023,43,3,0,276,318,132,174,3.36e-14,63.9,"F20O_H11_081_blast.txt"
"F20O_H11_081","AM396448.1",93.023,43,3,0,276,318,132,174,3.36e-14,63.9,"F20O_H11_081_blast.txt"
"F20O_H11_081","AM396447.1",93.023,43,3,0,276,318,132,174,3.36e-14,63.9,"F20O_H11_081_blast.txt"
"F20O_H11_081","AM902935.1",88.889,45,2,3,278,322,200,241,7.28e-11,52.8,"F20O_H11_081_blast.txt"
"F20O_H11_081","AM902929.1",88.889,45,2,3,278,322,173,214,7.28e-11,52.8,"F20O_H11_081_blast.txt"
"F20O_H11_081","AM902926.1",88.889,45,2,3,278,322,173,214,7.28e-11,52.8,"F20O_H11_081_blast.txt"
"F22G_B12_094","AM396449.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F22G_B12_094_blast.txt"
"F22G_B12_094","AM396448.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F22G_B12_094_blast.txt"
"F22G_B12_094","AM396447.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F22G_B12_094_blast.txt"
"F22G_B12_094","AM902935.1",88.889,45,2,3,275,319,200,241,7.19e-11,52.8,"F22G_B12_094_blast.txt"
"F22G_B12_094","AM902929.1",88.889,45,2,3,275,319,173,214,7.19e-11,52.8,"F22G_B12_094_blast.txt"
"F22G_B12_094","AM902926.1",88.889,45,2,3,275,319,173,214,7.19e-11,52.8,"F22G_B12_094_blast.txt"
"F22L_A12_096","AM396449.1",93.023,43,3,0,284,326,132,174,3.43e-14,63.9,"F22L_A12_096_blast.txt"
"F22L_A12_096","AM396448.1",93.023,43,3,0,284,326,132,174,3.43e-14,63.9,"F22L_A12_096_blast.txt"
"F22L_A12_096","AM396447.1",93.023,43,3,0,284,326,132,174,3.43e-14,63.9,"F22L_A12_096_blast.txt"
"F22L_A12_096","AM902935.1",88.889,45,2,3,286,330,200,241,7.43e-11,52.8,"F22L_A12_096_blast.txt"
"F22L_A12_096","AM902929.1",88.889,45,2,3,286,330,173,214,7.43e-11,52.8,"F22L_A12_096_blast.txt"
"F22L_A12_096","AM902926.1",88.889,45,2,3,286,330,173,214,7.43e-11,52.8,"F22L_A12_096_blast.txt"
"F22O_D12_090","AM396449.1",93.023,43,3,0,275,317,132,174,3.33e-14,63.9,"F22O_D12_090_blast.txt"
"F22O_D12_090","AM396448.1",93.023,43,3,0,275,317,132,174,3.33e-14,63.9,"F22O_D12_090_blast.txt"
"F22O_D12_090","AM396447.1",93.023,43,3,0,275,317,132,174,3.33e-14,63.9,"F22O_D12_090_blast.txt"
"F22O_D12_090","AM902935.1",88.889,45,2,3,277,321,200,241,7.21e-11,52.8,"F22O_D12_090_blast.txt"
"F22O_D12_090","AM902929.1",88.889,45,2,3,277,321,173,214,7.21e-11,52.8,"F22O_D12_090_blast.txt"
"F22O_D12_090","AM902926.1",88.889,45,2,3,277,321,173,214,7.21e-11,52.8,"F22O_D12_090_blast.txt"
"F23G_F12_086","AM396449.1",93.023,43,3,0,274,316,132,174,3.32e-14,63.9,"F23G_F12_086_blast.txt"
"F23G_F12_086","AM396448.1",93.023,43,3,0,274,316,132,174,3.32e-14,63.9,"F23G_F12_086_blast.txt"
"F23G_F12_086","AM396447.1",93.023,43,3,0,274,316,132,174,3.32e-14,63.9,"F23G_F12_086_blast.txt"
"F23G_F12_086","AM902935.1",88.889,45,2,3,276,320,200,241,7.19e-11,52.8,"F23G_F12_086_blast.txt"
"F23G_F12_086","AM902929.1",88.889,45,2,3,276,320,173,214,7.19e-11,52.8,"F23G_F12_086_blast.txt"
"F23G_F12_086","AM902926.1",88.889,45,2,3,276,320,173,214,7.19e-11,52.8,"F23G_F12_086_blast.txt"
"F28L_E03_023","AM396449.1",99.359,156,0,1,22,177,24,178,4.93e-80,281,"F28L_E03_023_blast.txt"
"F28L_E03_023","AM396448.1",99.359,156,0,1,22,177,24,178,4.93e-80,281,"F28L_E03_023_blast.txt"
"F28L_E03_023","AM396447.1",99.359,156,0,1,22,177,24,178,4.93e-80,281,"F28L_E03_023_blast.txt"
"F28O_H03_017","AM396449.1",100,151,0,0,29,179,28,178,3.08e-79,279,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM396449.1",93.023,43,3,0,279,321,132,174,3.38e-14,63.9,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM396448.1",100,151,0,0,29,179,28,178,3.08e-79,279,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM396448.1",93.023,43,3,0,279,321,132,174,3.38e-14,63.9,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM396447.1",100,151,0,0,29,179,28,178,3.08e-79,279,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM396447.1",93.023,43,3,0,279,321,132,174,3.38e-14,63.9,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM902935.1",88.889,45,2,3,281,325,200,241,7.32e-11,52.8,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM902929.1",88.889,45,2,3,281,325,173,214,7.32e-11,52.8,"F28O_H03_017_blast.txt"
"F28O_H03_017","AM902926.1",88.889,45,2,3,281,325,173,214,7.32e-11,52.8,"F28O_H03_017_blast.txt"
"F31G_B04_030","AM396449.1",99.333,150,1,0,24,173,29,178,5.07e-77,272,"F31G_B04_030_blast.txt"
"F31G_B04_030","AM396449.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F31G_B04_030_blast.txt"
"F31G_B04_030","AM396448.1",99.333,150,1,0,24,173,29,178,5.07e-77,272,"F31G_B04_030_blast.txt"
"F31G_B04_030","AM396448.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F31G_B04_030_blast.txt"
"F31G_B04_030","AM396447.1",99.333,150,1,0,24,173,29,178,5.07e-77,272,"F31G_B04_030_blast.txt"
"F31G_B04_030","AM396447.1",93.023,43,3,0,273,315,132,174,3.32e-14,63.9,"F31G_B04_030_blast.txt"
"F31G_B04_030","AM902935.1",88.889,45,2,3,275,319,200,241,7.19e-11,52.8,"F31G_B04_030_blast.txt"
